"index","heading","level","content"
"2.1.1","Synthesising the evidence","Level 1 - Awareness - Apprentice/Placement","Displays an ability to assess different methods, data or results being used, and to comment on the appropriateness of these methods."
"2.2.1","Synthesising the evidence","Level 2 – Practitioner: HEO","Analyses complex information and data, drawing on economic knowledge and applying it to questions of interest for the department, while being aware of the limitations of economic analysis and the available data."
"2.3.1","Synthesising the evidence","Level 2 – Practitioner: SEO","Analyses and synthesises complex information and data, drawing on economic knowledge and applying it to questions of interest for the department, while being aware of the limitations/risks of economic analysis and the available data. This may include developing detailed knowledge or expertise of a technical area."
"2.4.1","Synthesising the evidence","Level 3 – Expert: G7","Leads development of analysis and synthesises evidence from a range of data and complex information sources, combining and developing these as appropriate. This will include building an understanding of data sources, measurement techniques and analytical debate relating to specific policy areas and ensuring issues of economic inequality and distribution are considered as required."
"2.5.1","Synthesising the evidence","Level 3 – Expert: G6","Is accountable and ensures consistency between analytical products delivered across teams. This will include building an understanding of the opportunities and limitations of data sources, measurement techniques and analytical debate relating to specific policy areas and ensuring issues of economic inequality and distribution are considered as required."
"2.6.1","Synthesising the evidence","SCS","Creates and supports teams that challenge and improve the evidence base, draw on diverse perspectives across professional boundaries and consider economic inequality and redistribution as required."
"3.1.1","Deliver economic analysis","Level 1 - Awareness - Apprentice/Placement","Can contribute to an economic project with support."
"3.2.1","Deliver economic analysis","Level 2 – Practitioner: HEO","Works independently on an economic/analytical project."
"3.2.2","Deliver economic analysis","Level 2 – Practitioner: HEO","Escalates analytical issues appropriately."
"3.3.1","Deliver economic analysis","Level 2 – Practitioner: SEO","Is competent in scoping and leading analytical research design."
"3.3.2","Deliver economic analysis","Level 2 – Practitioner: SEO","Can take responsibility for wider analytical projects."
"3.4.1","Deliver economic analysis","Level 3 – Expert: G7","Uses horizon scanning methodologies to anticipate new trends, opportunities and challenges that may influence outcomes of interest to the customers."
"3.4.2","Deliver economic analysis","Level 3 – Expert: G7","Delivery of high quality analysis to the standards set out in the green, aqua and magenta books."
"3.5.1","Deliver economic analysis","Level 3 – Expert: G6","Uses horizon scanning methodologies to anticipate new trends, opportunities and challenges that may influence outcomes of interest to team/departments/stakeholders."
"3.5.2","Deliver economic analysis","Level 3 – Expert: G6","Leads the delivery, or contributes to delivery, of policy appraisal, impact assessments, evidence-based business cases, and evaluation to the standards set out in the Green. Aqua and Magenta Books. This will include engaging with, and bringing in expertise from, other analytical professions as appropriate."
"3.6.1","Deliver economic analysis","SCS","Leads experts to deliver high quality economic analysis, critically appraising methods in line with best practice guidelines. This also includes developing and adding to best practice where possible."
"4.1.1","Expanding the evidence base","Level 1 - Awareness - Apprentice/Placement","Skill not generally expected at this grade. However, some roles may include identifying evidence gaps."
"4.2.1","Expanding the evidence base","Level 2 – Practitioner: HEO","Undertakes analysis to fill evidence gaps identified."
"4.3.1","Expanding the evidence base","Level 2 – Practitioner: SEO","Takes responsibility for wider analytical projects which address identified evidence gaps."
"4.4.1","Expanding the evidence base","Level 3 – Expert: G7","Expands and develops the evidence base for future policy development. This includes anticipating evidence gaps and future evidence needs, scoping work projects, managing internal and external analytical programmes and building links with academia and wider research communities."
"4.5.1","Expanding the evidence base","Level 3 – Expert: G6","Expands and develops the evidence base for future policy development. This includes anticipating evidence gaps and future evidence needs, scoping work programmes, managing internal and external analytical programmes, proactively building networks with academia and wider research communities. Includes finding new ways of influencing policy and keeping up to date with policy debates in the area of expertise."
"4.6.1","Expanding the evidence base","SCS","Identifies where and how new analysis can provide insight into strategic challenges. Marshalls analytical resources to do so, leveraging external networks where appropriate."
"5.1.1","Applying appraisal techniques","Level 1 - Awareness - Apprentice/Placement","Is familiar with and learning the basics of techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
"5.2.1","Applying appraisal techniques","Level 2 – Practitioner: HEO","Learns and applies techniques such as monetisation and discounting as outlined in the Green Book, in order to produce Cost-Benefit Analysis."
"5.3.1","Applying appraisal techniques","Level 2 – Practitioner: SEO","Uses techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
"5.4.1","Applying appraisal techniques","Level 3 – Expert: G7","Uses and supervises the application of techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
"5.4.2","Applying appraisal techniques","Level 3 – Expert: G7","· Where appropriate, demonstrates the ability to develop and improve techniques used and actively participate in quality- assurance procedures and processes."
"5.4.3","Applying appraisal techniques","Level 3 – Expert: G7","· Critically reviews and suggests improvements to techniques to establish/identify robust counterfactuals to effectively measure policy impact and causation as detailed in the Magenta Book."
"5.5.1","Applying appraisal techniques","Level 3 – Expert: G6","Supervises the application of and critically assesses techniques such as monetisation and discounting as outlined by the Green Book, in order to apply Cost Benefit Analysis. Where needed, this includes balancing conflicting methods and techniques used in the analysis and managing the quality-assurance process."
"5.5.2","Applying appraisal techniques","Level 3 – Expert: G6","· Critically reviews and suggests improvements to techniques used by the team to establish/identify robust counterfactuals to effectively measure policy impact and causation as detailed in the Magenta Book."
"5.6.1","Applying appraisal techniques","SCS","Influences stakeholders at all levels to ensure cutting edge, timely appraisal is carried out and influences decisions."
"5.6.2","Applying appraisal techniques","SCS","· Takes a strategic approach to longer term development of techniques and tools available."
"6.1.1","Development as an economist","Level 1 - Awareness - Apprentice/Placement","Actively engages in wider learning and development to support formal learning."
"6.2.1","Development as an economist","Level 2 – Practitioner: HEO","Develops oneself as a professional economist by continuing to seek out training and support that enables confident delivery of the above."
"6.3.1","Development as an economist","Level 2 – Practitioner: SEO","Develops oneself as a professional economist by continuing to seek out training, teaching and coaching opportunities as well as promoting economics that enables confident delivery of the above."
"6.4.1","Development as an economist","Level 3 – Expert: G7","Keeps up to date with relevant academic literature, developments in data science, techniques (e.g. behavioural insights) and contributes to wider debates within the organisation and economic profession."
"6.4.2","Development as an economist","Level 3 – Expert: G7","Operates with credibility in an inclusive way, is accountable for the work of the team(s) (where applicable) and champions the economics profession including volunteering as a GES Assessor as per requirements."
"6.4.3","Development as an economist","Level 3 – Expert: G7","Seeks out mentoring opportunities and/or acts as a mentor (formally or informally) to GES Apprentices, HEOs and SEOs."
"6.4.4","Development as an economist","Level 3 – Expert: G7","Seeks out opportunities to embed D&I learning to enable inclusive approaches."
"6.5.1","Development as an economist","Level 3 – Expert: G6","Keeps up to date with the latest relevant academic literature, developments in data science, techniques (e.g., behavioural insights) and contributes to wider debates within the organisation and economic profession."
"6.5.2","Development as an economist","Level 3 – Expert: G6","Operates with credibility in an inclusive way, is accountable for the work of the team(s) (where applicable) and champions the economics profession."
"6.5.3","Development as an economist","Level 3 – Expert: G6","Actively keeps abreast of, and contributes to, relevant economic developments within and outside the Department, including internationally, adopting, and promoting good practice."
"6.5.4","Development as an economist","Level 3 – Expert: G6","Acts as a mentor to GES Apprentices, HEOs SEOs and G7s."
"6.6.1","Development as an economist","SCS","Engages in senior management events and leadership training sessions to build capability and influence others."
"6.6.2","Development as an economist","SCS","Acts as a mentor to G6/G7s."
"6.6.3","Development as an economist","SCS","Can lead and coach policy/economic colleagues and Ministers through analysis and support their understanding."
"6.6.4","Development as an economist","SCS","Oversees the development of economists by ensuring training and support is accessible."
"6.6.5","Development as an economist","SCS","Provide highest level QA in line with departmental processes."
