text,paragraph_id,question,person,keywords,sentiment
"For brevity, I will have one more go and then hand back. The Army is one example, but it is not just the Army. According to policy, it is going to reduce to 72,500 within the next couple of years. According to this article, it will be at 70,000 in two years. If you extrapolate the trend at which they are leaving, David, by the end of 2026, it will be at 68,000. If you extrapolate the line forward to a decade's time, it will be at 52,000, meaning that, as a graphic example, you could fit the entire regular British army in the Etihad stadium. Some of them are Man U supporters who will not like that. This really is a crisis. Is the Secretary of State going to make an oral statement to Parliament to flesh out what he is doing to stop the bleeding?",21,Q9,Mr Francois,"- Brevity and hand back
- Army
- Army reduction policy
- Army reduction numbers (72,500, 70,000, 68,000, 52,000)
- Trend of leaving the Army
- Graphic example of fitting the entire army in a stadium
- Man U supporters
- Crisis
- Secretary of State's action",I would rate the sentiment expressed in the paragraph as a 5.
"Just to be precise, we are aiming for 73,000. There is an additional 500 from the National Cyber Force.",22,Q9,David Williams,"goal, numbers",I would rate the sentiment expressed in the paragraph a 7.
"At the rate at which they are leaving, that is an academic point.",23,Q10,Mr Francois,"employee turnover rate, importance of the topic discussed",I would rate the sentiment expressed in the paragraph as a 5.
"I get that. The numbers that you set out for where the trained strength of the Army would be by those dates is not our plan. I acknowledge that our current plan is not working in the way that we want. I am happy to pass your request about a statement back to Ministers. All I would say is that---and I am trying to think whether I have said this to this Committee before or to your sister Defence Select Committee---if I think about the risks that keep me awake in defence, the number one risk to delivering our programme is access now and over time to the right number of people in and not in uniform, with the skills that we need.",24,Q10,David Williams,"- Trained strength of the Army
- Current plan
- Request for a statement
- Risks in defense
- Access to the right number of people with the required skills","The sentiment expressed in the paragraph is neutral and informative rather than positive or negative. Therefore, it can be rated as a 5."
"In fairness, your Secretary of State is an intelligent man. He is now well aware of the problem. The question is whether he could come to Parliament and tell us what he is going to do about it. You have the point. I will leave it there.",25,Q10,Mr Francois,"attribution, assessment, problem acknowledgment, solution request",I would rate the sentiment expressed in the paragraph as a 7.
"General Magowan, you were looking for the figures there, and I wondered whether you had any update.",26,Q11,Chair,"General Magowan, figures, update","I would rate the sentiment expressed in the paragraph as around a 5. It does not contain an overtly positive or negative sentiment, but rather a neutral inquiry about the status of the figures."
"Our figures are five to eight rather than one to three, but that is by the bye. We accept the problem. As the Permanent Secretary has said, probably one of the top three of those critical problems is military capability, and people are part of that. We are not being complacent at all and we have the measures in place that the Permanent Secretary has just mentioned.",27,Q11,Lt General Sir Robert Magowan,"figures, problem acceptance, military capability, complacency, measures",I would rate the sentiment expressed in the paragraph as a 8.
"The only thing that I would add is that trends change, and can do so quite quickly, particularly around strategic events, which can be either a positive or a negative for recruiting, so I will leave it at that. Trends change in somebody's head tomorrow morning, so we can extrapolate, but we need to be ready for changes.",28,Q11,Lt General Sir Robert Magowan,"trends change, strategic events, recruiting",I would rate the sentiment expressed in the paragraph a 7.
"This is something that we look at in other sessions as well, as does our sister Committee. We want to look at the equipment plan and the affordability of it, and the simple question, Mr Williams, is this. After all this time that I and this Committee have been looking at it, we have a gap, which has significantly deteriorated since last year. Why?",29,Q12,Chair,"- Reviewing previous sessions
- Sister Committee
- Equipment plan
- Affordability
- Mr. Williams
- Gap in the plan
- Deterioration of the gap
- Inquiry into the cause",I would rate the sentiment expressed in the paragraph as a 5.
"As you set out, Chair, the excess on our current assumptions over budget over the 10-year period is just under £17 billion. Just to put that in context, that is around a 6% overall excess on a baseline budget assumption of just under £290 billion. There are two principal drivers of that change. One is the impact of adverse economic conditions, particularly the impact of extraordinary inflation, which has added around £11 billion to the cost of the programme as we previously envisaged that to be. Together with movement on foreign exchange rates of a couple of billion pounds, that is the bulk of the net increase.",30,Q12,David Williams,"excess on current assumptions over budget, 10-year period, overall excess, baseline budget assumption, principal drivers of change, impact of adverse economic conditions, impact of extraordinary inflation, cost of programme, movement on foreign exchange rates, net increase.",I would rate the sentiment expressed in the paragraph a 3.
"We have also taken a decision linked to the context of the dangerous world in which we find ourselves, consistent with the integrated review and with the defence command paper, to seriously de-risk the nuclear enterprise in defence by ensuring that it is fully funded and de-risked, and so there has been a substantial increase in the cost of the nuclear enterprise over that period as well.",31,Q12,David Williams,"- Decision linked to the dangerous world
- Integrated review
- Defence command paper
- De-risking the nuclear enterprise
- Full funding for the nuclear enterprise
- Increase in the cost of the nuclear enterprise",I would rate the sentiment expressed in the paragraph a 7.
"As we may come on to, I would describe this equipment plan as, effectively, a work in progress. We drew a line under it at the end of March 2023. There is more to be done on ensuring not only that the programme is affordable but that there is clarity on assumptions around budget, around the costs and around the content of the programme.",32,Q12,David Williams,"equipment plan, work in progress, line under it, end of March 2023, programme affordability, clarity on assumptions, budget, costs, content of the programme",I would rate the sentiment expressed in the paragraph as a 5.
"At the moment, the spending review is scheduled for November of this year, but we will come to that later, because there are a number of uncertainties around that. You have this shortfall of nearly £17 billion. As you say, some of those pressures such as inflation and forex are difficult to control, but you are going to have to manage that shortfall nevertheless, so it is a balance between capability or efficiencies. How are you going to approach that? We stress that it is over a 10-year period, so there is front-loading and back-loading that you can do, but we have seen problems before when you have just moved issues to the right. Can you assure us that you are not going to do that, and what are you going to do to try to shrink the gap?",33,Q13,Chair,"- Spending review schedule for November
- Uncertainties around spending review
- Shortfall of nearly £17 billion
- Pressures such as inflation and forex
- Managing the shortfall
- Balance between capability or efficiencies
- Approaching the shortfall
- Front-loading and back-loading over a 10-year period
- Past problems with moving issues to the right
- Ensuring no delay in addressing the gap
- Strategies to shrink the gap","I would rate the sentiment expressed in the paragraph a 5.5, as it is neither strongly positive nor strongly negative."
"Let me say this in as reassuring a way as I can. One of the uncertainties that we are dealing with is the timing of the Government's commitment to increase defence spending to 2.5% of GDP. On Monday last week, the Prime Minister said in the House that the timing and trajectory would be a matter for the next spending review. We are keen not to cut, defer or de-scope capability programmes unnecessarily in advance of clarity around that budget. That is one of the reasons why, in the material that we set out to the Committee, we talk about an upside and downside budget scenario.",34,Q13,David Williams,"uncertainties, timing of Government's commitment to increase defence spending, next spending review, capability programmes, budget scenario","I would rate the sentiment expressed in the paragraph as a 5.5. It is neither very negative nor very positive, but rather expresses a level of uncertainty and caution."
"As inflation changes, the forward costs over a 10-year programme will change as well. Inflation is coming down, so some of the assumptions about the costs of the programme in the later years will reduce.",35,Q13,David Williams,"inflation changes, forward costs over a 10-year programme, assumptions about costs of the programme in the later years",I would rate the sentiment expressed in the paragraph as a 7.
You still have the increase that you have had in recent years.,36,Q14,Chair,increase in recent years,I would rate the sentiment expressed in the paragraph as a 7.
"We still have the increase that we have had in recent years, and we are currently in the middle of a force design process, looking at the capabilities that we want to commit to. Some of those will be from the programme of record that we already have, as set out in this document, but we also want to reflect some of the new challenges and the learning set out in our defence command paper last summer, partly through lessons from Ukraine and partly around the pace of technological change.",37,Q14,David Williams,"increase in recent years, force design process, capabilities, programme of record, new challenges, learning from Ukraine, pace of technological change",I would rate the sentiment expressed in the paragraph a 7.
"We are going to touch on capabilities in more detail in a moment. You have the gap in the equipment plan. You are saying you are going to wait until the spending review before making decisions about the 2.5%. Whether or not that happens, you are waiting. In the meantime, there are no real plans to cut projects and, if there are any that are not really going to deliver, they are going to keep costing money. Even if everything else is benign---you get an increase in defence spending, inflation decreases and a few other things work in your favour---there will still be a shortfall. Is there any realistic work going on about cutting or reducing a programme?",38,Q15,Chair,"capabilities, equipment plan, spending review, 2.5%, cut projects, costing money, increase in defence spending, inflation decreases, shortfall, cutting or reducing a programme",I would rate the sentiment expressed in the paragraph a 3.5.
"There is work underway right now, which is really looking at this problem in two parts. First, what are we going to do for the financial year 2024-25, maybe into 2025-26, and, secondly, what are our capability priorities across the 10-year period overall? Those are two somewhat different questions. It may well be that we need to take measures against existing programmes to manage through the first couple of years of that pressure. We have more choice when it comes to the decisions that we make over the 10-year period in terms of contractual commitment, although it starts higher and then tails off. Over the 10-year period, we are currently only about 25% on contract, so there is quite a lot of choice in the later years of the 10-year planning horizon about where we want to invest.",39,Q15,David Williams,"- Work underway
- Financial year 2024-25
- 2025-26
- Capability priorities
- 10-year period overall
- Existing programmes
- Measures against existing programmes
- First couple of years
- Pressure
- Decisions
- Contractual commitment
- 10-year planning horizon
- Investment","I would rate the sentiment expressed in the paragraph as a 7. The tone of the paragraph seems mostly neutral, but there is some positivity in the mention of having more choice and flexibility in the later years of the 10-year planning horizon."
So you are deferring the choices about making hard decisions.,40,Q16,Chair,"deference, choices, making hard decisions",I would rate the sentiment expressed in the paragraph as a 4.
"We are deferring some choices where there are no-regrets decisions. For example, one of the key lessons from Ukraine is that we need to invest more in our munitions stockpiles. We will get on with that in advance of the next spending review. We are doing that already and, no doubt, we can talk a bit about that in this session.",41,Q16,David Williams,"deferment of choices, no-regrets decisions, lessons from Ukraine, investment in munitions stockpiles, next spending review",I would rate the sentiment expressed in the paragraph as a 6.
"The point is about not stopping things unnecessarily over the next 12 to 18 months, if it turns out that we are going to have funding headroom for it. What that means is quite an important focus on commitment control. As we are going through the approvals and putting new programmes on to contract, there is then a decision about being confident that we want those in the forward programme, come what may, given the budgetary and costing scenarios that we face. If not, we then take a decision on a case-by-case basis about whether it makes most sense to defer that programme.",42,Q16,David Williams,"funding headroom, commitment control, approvals, new programmes, contract, forward programme, budgetary and costing scenarios, defer programme",7
"We are going to get into a long answer here. There are lots of words, but we are going to drill down on some of the capability issues a little later. A colleague will be picking up on those. One of the things about this report is that, when it came out, the Department's public statement did not sound like it agreed with the National Audit Office's take on this, which is well worked up. Can you just be clear that it is an agreed report?",43,Q17,Chair,"- Getting into a long answer
- Capability issues
- Colleague picking up on capability issues
- Report not sounding like it agreed with National Audit Office's take
- Request for clarification on agreed report",I would rate the sentiment expressed in the paragraph as a 5.
"It is an agreed report, and it is based on data that we shared with the National Audit Office. We worked closely with it on the production of the report. The distinction---and it is not a criticism of the NAO work but almost having set it an impossible task---is that we did not publish our own equipment plan this year, because of the uncertainty of how we would deal with inflation and the opportunity to think about new capabilities that we want in light of the defence command plan. That is why I described it as a work in progress. There are a set of issues that we still need to work through.",44,Q17,David Williams,"- Agreed report
- Data sharing with National Audit Office
- Collaboration with National Audit Office on report production
- Difference in publication of equipment plan
- Uncertainty of dealing with inflation
- Consideration of new capabilities in light of defence command plan
- Work in progress
- Set of issues to work through","The sentiment expressed in the paragraph is neutral, so it can be rated as 5."
"The NAO analysis is not very different to the approach taken every year. It is a view based on a set of data, which, for us, is still interim. That is really all that I mean. There is more to come.",45,Q17,David Williams,"NAO analysis, approach taken every year, view based on a set of data, still interim, more to come","I would rate the sentiment expressed in the paragraph as a 6. The tone is mostly neutral, with a slight hint of optimism at the end (""There is more to come"")."
"I am going to drill down a little further on the Chair's questioning. You are holding everything in this 10-year defence plan, knowing that it is unaffordable. Is this a deliberate ploy to put pressure on the Treasury to give you that 2.5% more quickly than it would otherwise wish to?",46,Q18,Sir Geoffrey Clifton-Brown,"Chair's questioning, 10-year defence plan, affordability, deliberate ploy, pressure on Treasury, 2.5% increase","I would rate the sentiment expressed in the paragraph as a 3.    
The tone of the statement leans negative as it criticizes the Chair for knowingly holding an unaffordable defence plan. The implication of using a deliberate ploy to pressure the Treasury also adds a negative connotation."
"No, not directly. The point is simply that, if you are looking to plan with a degree of precision over a 10-year period, it is helpful to know what your budget is. I have certainty about my budget only for the next 15 months before we are into the next spending review, so it is based on a set of assumptions.",47,Q18,David Williams,"budgeting, planning, precision, 10-year period, certainty, next 15 months, spending review, assumptions",I would rate the sentiment expressed in the paragraph as a 6.
"Was ""the next 15 months"" a slip of the tongue? The spending review is scheduled for November of this year, we believe.",48,Q19,Chair,"- Slip of the tongue
- The next 15 months
- Spending review
- Scheduled for November",I would rate the sentiment expressed in the given paragraph a 6.
I have budget certainty until the end of March 2025.,49,Q19,David Williams,"budget certainty, end of March 2025",9
Then the new spending review will kick in. Forgive me. You are right.,50,Q19,Chair,"spending review, forgiveness, agreement",I would rate the sentiment expressed in the paragraph as a 5.
"There will then be a debate for 2025-26. My point is that the Government's stated position is that, as economic and fiscal circumstances allow, the defence budget is going to increase. The core assumption here does not factor that in. My colleagues may correct me, but the upper scenario for our defence budget assumes growth towards 2.5% from 2027 through to 2032, but that is just an assumption from us.",51,Q19,David Williams,"2025-26 debate, Government's stated position, increase in defence budget, core assumption, colleagues' correction, upper scenario for defence budget, growth towards 2.5%, assumption",I would rate the sentiment expressed in the paragraph as a 6.
"The point that the Chair was trying to make is that, without prejudging whether the Chancellor is going to give you that 2.5%, the content of this defence plan is unaffordable. Therefore, the responsible thing to do---and, indeed, any budget holder in any other Department would be widely criticised if they did not do this---would, surely, be to make a priority list and take out those items that were not an absolute priority. Otherwise, you are holding items in there, spending money, planning staff, working out budgets and everything else. You might then have to cancel them much later in the day, which would lead to very poor value for money for some of the other matters that remained in. You would get better value for money if you took out those that were not priorities, would you not?",52,Q20,Sir Geoffrey Clifton-Brown,"- The affordability of the defence plan
- Making a priority list
- Holding items in the budget
- Canceling items
- Value for money",I would rate the sentiment expressed in the paragraph a 7.5.
"First, depending on the timing of a move to 2.5% of GDP, the plan could well be affordable as currently set out. That definitely does not mean that we are being complacent about managing inflationary pressure where we can. We are going through that process, and General Magowan is leading the process at the moment to review our priorities against not only affordability but the kinds of capability lessons from Ukraine and the ambition that we set out in the defence command paper refresh last summer. We are doing that and, where there is a no-regrets move to either fund or stop, my expectation is that we would enact that quickly. Where it is something that makes sense to view in the round alongside a spending review process, those are decisions that we will take when we get into that cross-Government resource allocation event.",53,Q20,David Williams,"- Timing of the move to 2.5% of GDP
- Affordability of the plan
- Managing inflationary pressure
- Reviewing priorities
- Capability lessons from Ukraine
- Ambition set out in the defence command paper refresh
- Enacting no-regrets moves quickly
- Spending review process
- Cross-Government resource allocation event",I would rate the sentiment expressed in the paragraph as a 7.
"I am going to switch to you, Mr Wipperman. Good afternoon. We have limited time, so shortish answers would be really helpful. I want to talk about two aspects of the plan. It says in the NAO report that you are planning to move quite substantially to inflation-linked contracts because of the recent spike in inflation, which is now coming down. What incentive does that give to your defence contractors to keep their costs down if you do that?",54,Q21,Sir Geoffrey Clifton-Brown,"switching to Mr Wipperman, limited time, shortish answers, two aspects of the plan, inflation-linked contracts, recent spike in inflation, incentives for defence contractors, keeping costs down",I would rate the sentiment expressed in the paragraph as a 6.
"The reason why we have moved towards that policy is that, going into this period of high inflation, around 25% of our contracts were firm price, and so the suppliers were taking the inflation risk. As we have moved into very high levels of inflation and very volatile movements in inflation, the cost to us of trying to put that risk on to suppliers has been too great. The value-for-money judgment is that we get better value for money by linking to the appropriate indices---and I am happy to talk about indices in a second---that mean that suppliers are not fully exposed to that risk and that we are doing some risk sharing. Which indices we might use for any particular contract will depend on the nature of what we are buying and the materials that go towards a product.",55,Q21,Tom Wipperman,"policy, high inflation, contracts, firm price, suppliers, inflation risk, levels of inflation, volatile movements, cost, risk, value-for-money judgment, appropriate indices, risk sharing, particular contract, buying, materials, product",I would rate the sentiment expressed in this paragraph as a 6.
"One of my colleagues is going to ask about that. On the specific issue of contracts, you did not answer the second bit of my question about what incentive there is on your suppliers to keep their costs down, if you give them a full inflation-linked contract. It puts me in mind---and I am old enough to remember this---of the old cost‑plus contracts, where the MoD was well and truly ripped off by its suppliers because they knew that they could immediately pass every single increase in costs back to the taxpayer.",56,Q22,Sir Geoffrey Clifton-Brown,"colleague's question, contracts, supplier incentives, cost-plus contracts, MoD, supplier rip-off, cost increases.","I would rate the sentiment expressed in the paragraph as a 4.5. The tone is slightly negative as the person expresses concern and parallels the situation to a previous negative experience. However, it is not extremely negative, as they are simply expressing worry and questioning the potential consequences of the situation described."
"Mr Start may want to comment on the details of the contracts, because he would be closer than I, but the indices that we would use will set out a set of costs and be independent of any particular behaviours. The indices are to do with market prices and the way that things are moving. Linking it to the contract, whether it is CPI, clothing and textile indices, or RPI, will be an escalator within the contract that we would have agreed.",57,Q22,Tom Wipperman,"contracts, details, comments, indices, costs, behaviors, market prices, movement, CPI, clothing and textile indices, RPI, escalator","I would rate the sentiment expressed in the paragraph as a 5. It is relatively neutral, and does not convey strong positive or negative emotions."
"Surely, it is in all of our interests to try to keep inflation down. One way to do that is to put pressure on your suppliers, and one way to do that is by an incentivised contract rather than full inflation-linked contract.",58,Q23,Sir Geoffrey Clifton-Brown,"inflation, keeping inflation down, putting pressure on suppliers, incentivised contract, full inflation-linked contract",I would rate the sentiment expressed in the paragraph as a 7.
"If I may, there is a value trade-off to be had around inflation volatility. If the inflation volatility is very high---",59,Q23,Andy Start,"value trade-off, inflation volatility",6
It has peaked and is coming down.,60,Q23,Sir Geoffrey Clifton-Brown,"peak, coming down",I would rate the sentiment expressed in the paragraph as a 5. Since the statement is relatively neutral and does not convey any explicit positivity or negativity.
"It is, but it is still really quite volatile. At this point, that volatility means that, at the moment, on balance, we are better off using indices rather than fixed prices. Once it is stabilised, we will probably wish to go back to fixed prices. It depends on the nature of the individual contract as to the level of incentive to the supplier within the contract. If you are on a target cost incentive fee style contract, there becomes a strong incentive for the contractor to try to keep the cost down. If you are on a more straightforward single-source contract, there is less incentive within the contract.",61,Q23,Andy Start,"volatility, indices, fixed prices, stabilisation, individual contract, level of incentive, target cost incentive fee style contract, contractor, cost, straightforward single-source contract","I would rate the sentiment expressed in the paragraph a 6.5. The tone is somewhat neutral, but leans more towards a positive sentiment. The speaker acknowledges the volatility but also suggests that using indices is currently better. They mention a possible return to fixed prices once the situation stabilizes, which suggests a hopeful outlook. The discussion of incentives within contracts also implies some level of positivity and potential benefits."
"Conversely, industry knows that the more it spends on a particular contract, the less there is to spend on other things. Its supply chain is not where it wants to spend the money. It wants to spend the money on generating more profit. Driving costs down and making the products that it has more exportable is more attractive, so there is an export incentive, although I would like that incentive to be stronger. That is the other dynamic that sits in this frame. It is not perfect, and every dynamic has a trade-off, but, at the moment, it is very clear to us that, if we try to cost in inflation with the level of volatility, we are just not getting good-value-for-money offers back.",62,Q23,Andy Start,"- Industry spending on contracts
- Supply chain
- Generating more profit
- Driving costs down
- Making products more exportable
- Export incentive
- Trade-off
- Costing in inflation
- Level of volatility
- Getting good-value-for-money offers back",I would rate the sentiment expressed in the paragraph a 3.
"General, good afternoon. Can I come to you, please, on a completely different aspect? This is on how your top-level budget holders approach their budgets. Some approach it on a completely different basis to others. For example, the RAF and the Navy have unaffordable plans, because they include full predictive costs for the capabilities that Government expect them to deliver, while others, such as the Army and the strategic programmes directorate, have developed affordable plans by accepting greater risks that their capabilities will not meet Government's objectives. Does that make any sense? Surely, they should all do their budgets on the same basis. Otherwise, you cannot compare apples with apples. You are comparing apples with pears.",63,Q24,Sir Geoffrey Clifton-Brown,"General, good afternoon. (General introduction) 
Can I come to you, please, on a completely different aspect? (Requesting to discuss a different topic) 
This is on how your top-level budget holders approach their budgets. (Topic: Approach to budgeting) 
Some approach it on a completely different basis to others. (Topic: Differences in budgeting approaches) 
For example, the RAF and the Navy have unaffordable plans, because they include full predictive costs for the capabilities that Government expect them to deliver. (Topic: Unaffordable plans of RAF and Navy) 
While others, such as the Army and the strategic programmes directorate, have developed affordable plans by accepting greater risks that their capabilities will not meet Government's objectives. (Topic: Affordable plans of the Army and strategic programmes directorate) 
Does that make any sense? (Questioning the logic of different approaches) 
Surely, they should all do their budgets on the same basis. (Advocating for uniform budgeting approach) 
Otherwise, you cannot compare apples with apples. (Metaphor highlighting the difficulty in comparing different budget approaches) 
You are comparing apples with pears. (Metaphor emphasizing the lack of comparability)","I would rate the sentiment expressed in this paragraph as a 5. It is somewhat neutral, as it presents a concern about different approaches to budgeting but does not express a clear positive or negative opinion."
